period,stock_id,vendor,data_type,report_index,report_index_description,report_index_standard,report_index_value,report_index_analysis,report_index_note,report_score,report_signal,report_score_detail,report_score_summary,report_risk
2025Q4,8085,福華,2,,,,,,,28,紅燈,"獲利能力極差：利息保障倍數、每股稅後盈餘、稅後淨利率、營業利益率、資產報酬率、股東權益報酬率等多項指標均為負值，顯示公司持續虧損。
現金流極度惡化：現金流量比為負，營業現金流無法支應短期負債，應收帳款佔營收比重過高，現金回收困難。
資產運用效率低：固定資產週轉率、總資產週轉率、存貨週轉率均明顯低於標準，資產閒置嚴重，存貨積壓。
短期償債能力強但資產閒置：流動比、速動比、現金比遠高於標準，顯示資金未有效運用，可能為應對現金流風險而保留。",福華公司多數關鍵財務指標嚴重劣於一般標準，獲利能力、現金流、資產運用效率均表現不佳，僅有短期償債能力及資本結構尚可，但無法彌補營運及現金流的重大缺失，整體財務風險極高，因此評分僅28分，屬紅燈警戒。,福華公司2025Q4財報顯示，最嚴重的風險在於持續虧損、現金流量惡化及資產運用效率低落。公司獲利能力指標全面失守，現金流量比為負，應收帳款及存貨積壓，營運現金回收困難，若未及時改善，恐將面臨資金斷鏈危機。建議公司應積極調整營運策略，加強應收帳款管理、去化存貨、提升資產週轉效率，並檢討成本結構，盡速止損回穩，以降低財務風險。
2025Q4,6237,驊訊,2,,,,,,,53,黃燈,"公司短期及長期償債能力極佳（流動比、速動比、現金比、負債比率等皆遠優於標準），資本結構穩健。
本業獲利能力嚴重不足（營業利益率、稅後淨利率、每股盈餘等多項指標為負），且成長性大幅衰退。
存貨與應收帳款管理尚可，但存貨佔營收比率偏高，應收帳款佔營收比率略高，需注意資金周轉與呆帳風險。
現金流量比遠低於標準，顯示營運現金流不足，若營運持續虧損，長期恐影響現金部位與營運穩定性。",公司財務結構極為穩健，短期及長期償債能力優異，負債壓力極小。但本業經營表現不佳，獲利能力與成長性皆呈現嚴重衰退，且現金流量偏低，若營運未能改善，未來仍有惡化風險，綜合評分為53分，屬於黃燈警示區。,驊訊公司雖然財務結構穩健、負債極低且短期償債能力極強，但本業持續虧損，營運獲利能力低落，且現金流量明顯不足，顯示公司營運現金來源有限，若未能改善本業經營效益，長期將侵蝕現金部位，進而影響公司正常營運。建議公司應積極提升本業營運效率、改善獲利結構，並加強現金流量管理，以確保財務穩健與永續經營。
2025Q4,6115,鎰勝,2,,,,,,,55,黃燈,"短期償債能力極佳：流動比、速動比、現金比、負債對淨值比率等多項指標均優於標準，顯示公司短期財務風險低。
應收帳款與存貨壓力大：應收帳款佔營收比率、應收帳款週轉率、存貨佔營收比率明顯劣於標準，資金回收風險高且庫存管理需加強。
獲利能力與成長性不足：每股盈餘、年成長率、稅後淨利率、資產報酬率等多項獲利指標低於標準，顯示公司營運成效需提升。
資本結構穩健但現金流量壓力：股東權益總額、負債總額等結構良好，但現金流量比低於標準，需注意現金流量管理。",鎰勝公司在短期償債能力與資本結構表現優異，但應收帳款、存貨管理及獲利能力明顯落後於業界標準，現金流量亦顯示壓力，整體評分給予55分，屬於黃燈區，需積極改善營運效率與現金流量。,鎰勝公司2025Q4財務結構穩健，短期償債能力強，負債壓力低，但應收帳款及存貨管理問題嚴重，導致資金回收風險高，現金流量比亦低於標準，顯示現金流壓力。最重要的風險在於營運資金管理與獲利能力不足，建議強化應收帳款催收、優化庫存管理及提升產品毛利率，同時加強現金流量控管，以降低財務風險。
2025Q4,6284,佳邦科技,2,,,,,,,53,黃燈,"短期償債能力尚可，流動比、速動比、現金比均高於標準，但現金流量比偏低，顯示營運現金流壓力。
存貨及應收帳款管理不佳，存貨佔營收比、應收帳款佔營收比率高，週轉率低，流動性及收現風險大。
獲利能力部分指標尚可（每股盈餘、毛利率、淨利率），但營業利益率、ROE、ROA明顯偏低，且盈餘年成長率大幅衰退。
資本結構穩健，負債比率合理，長期負債壓力小，但負債對淨值比率略高於標準，需注意未來槓桿風險。",佳邦科技公司短期償債能力與資本結構尚可，但營運現金流、存貨及應收帳款管理明顯失衡，獲利能力下滑，整體財務風險偏高，故評分為53分，屬於黃燈區間，建議積極改善營運效率與現金流管理。,佳邦科技2025Q4財務狀況顯示，最大風險來自於存貨及應收帳款過高，週轉效率低，導致營運現金流量不足，若未能有效改善，將影響公司資金調度與長期營運穩健。建議公司加強存貨控管、提升應收帳款回收效率，並強化現金流量管理，以降低流動性風險及提升整體財務體質。
2025Q4,3058,LEADER,2,,,,,,,22,紅燈,"獲利能力極差：如營業利益率、稅後淨利率、每股盈餘、股東權益報酬率等皆為負值，顯示公司持續虧損。
償債能力不足：流動比、速動比、現金比、現金流量比均低於標準，短期償債風險高。
資產品質惡化：存貨及應收帳款佔比極高且週轉率低，資金被大量占用，流動性危機明顯。
財務結構失衡：負債對淨值比率、負債總額均遠高於標準，槓桿過高，資本結構脆弱。",LEADER公司在25項指標中，僅2項符合或優於標準，多數指標嚴重劣化，尤其在獲利、償債、資產品質及財務結構等核心面向皆呈現高風險，因此評分僅22分，屬於極高風險等級。,LEADER公司2025Q4財務狀況極為嚴峻，主要風險來自持續虧損、現金流惡化、存貨與應收帳款積壓及負債過高。建議公司應立即進行營運重整，強化收款、減少存貨、嚴控成本並積極改善現金流，同時尋求增資或資產活化以改善財務結構，否則將面臨持續經營的重大危機。
2025Q4,8059,凱碩,2,,,,,,,38,紅燈,"短期償債能力明顯不足（如流動比、速動比、流動負債、應付帳款等多項指標均劣於標準）。
資本結構偏弱且財務槓桿過高（負債對淨值比率、負債總額、股東權益總額均顯著劣於標準）。
獲利能力偏低（每股盈餘、毛利率、營業利益率、資產報酬率、股東權益報酬率等多項指標均不達標）。
現金流量與資產運用效率尚可（現金比、現金流量比、總資產週轉率等符合標準），但無法彌補整體結構性風險。",凱碩公司2025Q4整體財務結構極度偏弱，短期償債能力及資本結構問題嚴重，獲利能力亦顯不足，僅現金流量及資產運用效率尚可，整體評分偏低，屬高風險公司。,凱碩公司2025Q4財務狀況顯示，最嚴重的風險在於高負債結構與短期償債能力不足，尤其負債對淨值比率高達487.9%、流動比與速動比均低於標準，應收帳款與存貨壓力大，獲利能力低迷。建議公司應優先改善資本結構，積極降低負債比重，強化現金流管理，加速應收帳款與存貨週轉，同時提升本業獲利能力，以降低財務風險，提升整體財務健康度。
2025Q4,2337,旺宏,2,,,,,,,52,黃燈,"獲利能力指標（如每股稅後盈餘、營業利益率、稅後淨利率、資產報酬率、股東權益報酬率）多數為負，顯示公司營運尚未脫離虧損，需留意長期獲利能力。
流動性與償債能力（如流動比、現金比、速動比、負債對淨值比率等）皆優於標準，顯示短期財務壓力不大，資本結構穩健。
營運效率（如存貨週轉率、固定資產週轉率、總資產週轉率）普遍偏低，存貨及應收帳款占比過高，資金運用效率需改善。
雖有部分指標（如每股稅後盈餘年成長率、營業毛利率）表現優異，顯示公司有回升跡象，但整體營運尚未全面復甦。",旺宏公司在流動性與資本結構方面表現良好，但獲利能力與營運效率明顯落後，存貨與應收帳款管理有待加強，整體財務風險屬中等偏高，因此評分為52分，屬於黃燈區間。,旺宏公司2025Q4財務結構穩健，短期償債能力強，負債壓力低，但獲利能力與營運效率不佳，存貨與應收帳款占比過高，導致資金運用效率低落。最重要的風險為持續虧損及存貨積壓，若未能有效提升營運效率與獲利能力，將影響未來現金流及資本市場信心。建議公司加強存貨及應收帳款管理，積極優化產品組合，提升營運效益，並持續控管成本，以改善整體財務體質。
2025Q4,3548,兆利,2,,,,,,,48,黃燈,"短期償債能力強：流動比、速動比、現金比、流動負債、長期負債等指標均優於標準，顯示公司短期財務風險低。
資產與資本結構穩健：股東權益總額、負債對淨值比率、負債總額等指標表現良好，資本結構無虞。
營運效率與獲利能力弱：總資產週轉率、營業利益率、毛利率、資產報酬率、股東權益報酬率等多項指標明顯低於標準，顯示公司獲利及經營效率不足。
應收帳款與存貨風險高：應收帳款佔營收比率、應收帳款週轉率、存貨佔營收比率等指標劣於標準，資金回收與存貨管理風險突出。",公司在短期償債與資本結構方面表現良好，但營運效率、獲利能力及應收帳款、存貨管理等多項關鍵指標嚴重劣於標準，整體財務風險偏高，給予48分(黃燈)。,兆利公司2025Q4整體財務結構穩健，短期償債能力強，負債壓力低。然而，營運效率與獲利能力明顯不足，應收帳款與存貨管理風險極高，應收帳款佔營收比率高達130.1%，存貨佔營收比率亦偏高，顯示資金大量積壓於存貨與應收項下，恐影響現金流與後續營運。建議加強應收帳款催收、優化存貨管理、提升營運效率及獲利能力，以降低財務風險，確保公司長期穩健發展。
2025Q4,8213,志超,2,,,,,,,48,黃燈,"償債能力指標如流動比、速動比、現金比等均優於標準，顯示短期財務壓力不大。
應收帳款佔營收比率與週轉率明顯劣於標準，應收帳款回收風險極高，資金流動性堪憂。
獲利能力相關指標（每股盈餘、毛利率、營業利益率、淨利率、ROE、ROA等）多數低於標準，顯示經營效益明顯下滑。
存貨佔營收比率過高，存貨積壓風險大，且現金流量比偏低，營運現金流量不足。",雖然公司在償債能力與資本結構方面表現良好，但獲利能力明顯下滑、應收帳款與存貨風險高、現金流量偏弱，整體財務風險偏高，因此給予48分，屬於黃燈，需密切關注營運與資金回收狀況。,志超公司2025Q4在償債能力與資本結構方面表現穩健，短期與長期負債壓力均低於一般標準。然而，最嚴重的風險在於應收帳款佔營收比率過高且週轉率偏低，顯示公司資金大量積壓於應收帳款，回收困難，可能導致現金流吃緊。此外，存貨佔營收比率過高亦反映存貨積壓，若未能有效去化，將進一步壓縮流動性。獲利能力持續下滑（每股盈餘、毛利率、淨利率等皆低於標準），需警惕未來經營效益惡化。建議公司加強應收帳款管理、加速存貨去化、提升營運現金流，並積極改善獲利結構，以降低整體財務風險。
2025Q4,8234,新漢,2,,,,,,,28,紅燈,"獲利能力極弱：多項獲利指標（每股稅後盈餘、稅後淨利率、資產報酬率、股東權益報酬率）均遠低於標準，且成長率大幅負值。
流動性風險高：現金流量比為負值、速動比與流動比均低於標準，存貨與應收帳款積壓嚴重，資金流動性不足。
償債能力不足：利息保障倍數極低，負債對淨值比率偏高，短期與長期償債壓力明顯。
資產運用效率部分尚可：固定資產週轉率、營業毛利率、長期負債等指標優於標準，顯示部分營運效率良好。",整體財務指標多數劣於標準，尤其獲利、流動性與償債能力指標皆顯示重大風險，僅少數資產運用效率與資本結構指標優於標準，因此評分為28分，屬於高風險狀態。,新漢公司2025Q4財務狀況顯示獲利能力極弱，營業利益率與稅後淨利率皆為低值甚至負值，現金流量比為負且存貨與應收帳款積壓嚴重，流動性與償債能力不足，利息保障倍數極低，短期內面臨資金周轉與償債壓力。最重要的風險在於營運獲利能力與現金流量，建議積極改善營運效率、加速存貨與應收帳款回收、嚴控成本並提升產品競爭力，同時審慎管理負債結構以降低償債壓力。
2025Q4,2353,宏碁,2,,,,,,,41,黃燈,"流動比與現金比高於標準，短期償債能力尚可，但速動比偏低，現金流量比為負，顯示短期現金流壓力。
存貨與應收帳款佔營收比率過高，週轉率偏低，反映資金周轉效率不佳，存在資金積壓與呆帳風險。
獲利能力指標（每股盈餘、營業利益率、毛利率、淨利率等）多數低於標準，顯示營運獲利能力明顯不足。
負債比率、負債對淨值比率偏高，資本結構較為保守但財務槓桿壓力提升，需關注償債風險。",宏碁在資產運用效率與部分短期償債指標表現尚可，但獲利能力、現金流、資金周轉及負債結構均有明顯弱點，整體財務風險偏高，評分41屬於黃燈，需積極改善營運與財務結構。,宏碁公司2025Q4財務狀況顯示，最主要風險來自於存貨及應收帳款過高、現金流量為負、獲利能力明顯下滑與負債結構偏高。建議公司加強存貨與應收帳款管理、提升資金回收效率、積極改善營運獲利能力，同時審慎規劃資本結構，降低財務槓桿，以提升整體財務穩健度。
2025Q4,6282,康舒,2,,,,,,,46,黃燈,"流動性風險偏高：存貨佔營收比率、應收帳款佔營收比率與現金流量比皆遠劣於標準，短期償債能力與資金流動壓力大。
獲利能力有成長，但基礎偏弱：每股盈餘成長率極高，但每股稅後盈餘、營業利益率、資產報酬率皆低於標準。
資本結構尚稱穩健：股東權益總額、長期負債比例優於標準，負債總額亦在可控範圍，但負債對淨值比率偏高。
營運效率需提升：固定資產週轉率表現佳，但總資產週轉率、存貨週轉率、應收帳款週轉率皆低於標準，資產運用效率不足。",康舒公司2025Q4財務結構部分穩健，獲利成長動能強，但流動性與營運效率明顯不足，應收帳款與存貨積壓嚴重，現金流量偏弱，整體評分46分，屬於黃燈區間，需積極改善流動性與營運效率。,康舒公司目前最大風險在於流動性及營運資金管理。存貨與應收帳款佔營收比率過高，且週轉速度偏慢，導致現金流量比遠低於標準，短期償債能力不足。建議強化應收帳款管理、加快存貨周轉、提升現金流量，同時持續控管負債水準，避免因資金周轉不靈而產生財務危機。
2025Q4,6243,迅杰,2,,,,,,,38,紅燈,"流動比、現金比、速動比等短期償債能力極佳，顯示公司短期資金充足。
獲利能力指標（每股盈餘、營業利益率、稅後淨利率、資產報酬率等）全面低於標準，顯示公司營運虧損嚴重。
存貨與應收帳款相關指標過高，週轉率低，資金回收與存貨積壓風險極高。
資本結構合理，負債負擔低，但營運效率指標（總資產週轉率）偏低，資產利用不佳。",儘管迅杰公司短期償債能力極佳，現金充足，資本結構穩健，但營運虧損嚴重、存貨與應收帳款積壓，獲利能力與資產運用效率極差，整體財務風險極高，因此評分偏低，呈現紅燈。,迅杰公司2025Q4財務狀況顯示，最主要風險為營運虧損、存貨積壓與應收帳款回收不良。雖然公司短期資金充足，但核心營運能力嚴重不足，資產利用效率低，且獲利能力全面惡化。建議公司積極改善營運策略，優化存貨與應收帳款管理，加強銷售與收款流程，並檢討產品線與成本結構，以提升獲利能力與資產運用效率，降低財務風險。
2025Q4,6224,聚鼎,2,,,,,,,41,黃燈,"獲利能力嚴重不足：如利息保障倍數、每股盈餘、營業利益率、稅後淨利率、資產報酬率、股東權益報酬率等皆為負值，顯示本業及整體獲利能力低落。
資金回收及存貨管理風險高：應收帳款及存貨相關指標明顯劣於標準，資金周轉壓力大，現金流雖暫時穩定但後續需警覺。
短期償債能力充足：流動比、速動比、現金比等短期償債能力指標表現良好，短期內無立即性資金危機。
資本結構尚穩健：負債比率、股東權益比率、長期負債等指標優於標準，顯示公司整體財務結構尚稱穩定。",聚鼎公司2025Q4雖然短期償債能力與資本結構表現良好，但獲利能力極差且營運現金流與資產運用效率偏低，應收帳款及存貨積壓問題嚴重，整體財務風險偏高，故評分僅41分，屬於黃燈警戒。,聚鼎公司2025Q4最大財務風險在於本業嚴重虧損、應收帳款與存貨積壓，造成資金周轉困難，若短期內無法改善營運效率與獲利能力，將進一步侵蝕資本結構。建議公司加強應收帳款催收、存貨管理，並積極提升本業營運效益，避免現金流惡化導致財務危機。
2025Q4,3362,先進光,2,,,,,,,22,紅燈,"短期償債能力不足：流動比、速動比、現金流量比皆低於標準，顯示公司短期償債風險高。
獲利能力極弱：每股稅後盈餘、稅後淨利率、股東權益報酬率、資產報酬率均遠低於標準，且EPS年成長率大幅負成長。
資本結構不佳：負債對淨值比率、負債總額、股東權益總額皆顯示公司槓桿過高、資本結構偏弱。
營運效率低落：存貨佔營收比率、應收帳款佔營收比率、週轉率等指標均顯示營運效率不佳，庫存及收款風險高。",本季財務指標多數遠低於一般標準，僅現金比與業外損益、應付帳款等少數指標符合標準，其餘皆顯示公司營運、獲利、償債及資本結構存在重大風險，因此評分偏低並給予紅燈警示。,先進光公司2025Q4財務狀況極為嚴峻，短期償債能力不足、獲利能力低迷、資本結構偏弱，且庫存與應收帳款積壓嚴重，現金流量偏低。最重要風險為現金流不足與獲利能力極弱，若無改善，將面臨資金斷鏈與營運危機。建議公司積極改善營運效率、加強收款、降低庫存、控制費用，並尋求資本增強或債務重整，以降低財務風險。
2025Q4,2484,希華,2,,,,,,,56,黃燈,"流動比、速動比、現金比、現金流量比等短期償債能力指標均遠高於標準，顯示公司短期財務風險極低。
存貨佔營收比率、應收帳款佔營收比率、存貨週轉率、應收帳款週轉率等流動資產管理指標均遠低於標準，顯示資金回收與庫存管理有重大風險。
獲利能力指標如營業利益率、資產報酬率、股東權益報酬率均低於標準，顯示公司獲利能力不足，雖稅後淨利率與毛利率尚可，但整體營運效率偏弱。
資本結構穩健，負債比率低、股東權益高，財務槓桿風險極低，長短期負債皆無壓力。",希華公司在短期償債能力與資本結構方面表現優異，但流動資產管理與獲利能力指標表現不佳，導致評分僅為56分，屬於黃燈警示區，需積極改善營運效率與資金回收。,希華公司2025Q4財務狀況顯示短期償債能力極佳，資本結構穩健，負債風險極低。然而，存貨與應收帳款佔營收比率過高，週轉率明顯偏低，代表公司資金回收緩慢且庫存壓力巨大，若未改善將影響現金流與營運效率。此外，獲利能力指標普遍低於標準，需加強營運管理、提升銷售效率與資產運用效率。建議公司加強庫存管理、積極催收應收帳款、優化營運流程，以降低流動資產風險並提升獲利能力。
2025Q4,6414,樺漢,2,,,,,,,38,紅燈,"流動性指標如流動比與現金比雖符合標準，但速動比與現金流量比偏低，顯示短期償債能力仍有壓力。
獲利能力多項指標（營業利益率、稅後淨利率、資產報酬率、股東權益報酬率）均低於標準，獲利動能不足，且每股盈餘年成長率為負。
資本結構方面，負債對淨值比率及負債總額偏高，股東權益占比略低，顯示財務槓桿風險。
存貨與應收帳款管理不佳，週轉率偏低且佔比過高，資金回收慢，營運風險明顯。",本季財務指標優於標準者僅6項，符合標準者3項，劣於標準者達16項，整體財務風險偏高，故評分為38分，屬紅燈區。,樺漢公司2025Q4財務狀況顯示短期償債能力、獲利能力、資本結構及營運資金管理均有明顯風險。最重要的風險在於存貨與應收帳款佔比過高、週轉率偏低，導致資金回收慢，流動性壓力大。此外，負債比率高於標準，財務槓桿風險加劇。建議公司加強存貨與應收帳款管理、提升週轉效率，並改善獲利能力與資本結構，以降低財務風險。
